TAXON_NAME,LIFE_STAGE,Total_Abundance,Site_Frequency,Kingdom,Phylum,Subphylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species,Subspecies
Saetheria tylus,Larvae,860,84,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Saetheria,NA,Saetheria tylus,NA
Saetheria tylus,Pupae,43,22,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Saetheria,NA,Saetheria tylus,NA
Sciomyzidae,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Sciomyzidae,NA,NA,NA,NA,NA,NA,NA
Scirtidae,Larvae,96,41,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Scirtidae,NA,NA,NA,NA,NA,NA,NA
Sialis sp.,Larvae,21,7,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,NA,NA,NA,Sialidae,NA,NA,NA,Sialis,NA,sp.,NA
Sigara alternata,Larvae,29,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Sigara,NA,Sigara alternata,NA
Sigara sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Sigara,NA,sp.,NA
Simulium sp.,Larvae,1862,84,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Simuliidae,NA,NA,NA,Simulium,NA,sp.,NA
Simulium sp.,Pupae,6,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Simuliidae,NA,NA,NA,Simulium,NA,sp.,NA
Sisyra sp.,Larvae,4,3,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Neuroptera,NA,NA,NA,Sisyridae,NA,NA,NA,Sisyra,NA,sp.,NA
Smittia sp.,Larvae,2,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Smittia,NA,sp.,NA
Somatochlora sp.,Larvae,56,16,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Odonata,Anisoptera,NA,NA,Corduliidae,NA,NA,NA,Somatochlora,NA,sp.,NA
Sperchopsis tessellata,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Sperchopsis,NA,Sperchopsis tessellata,NA
Sphaeriidae,Adults,1,1,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,NA,NA,NA,NA
Sphaeriidae,Larvae,99,7,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,NA,NA,NA,NA
Sphaerium sp.,Adults,66,7,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Sphaerium,NA,sp.,NA
Sphaerium sp.,Larvae,308,26,Animalia,Mollusca,NA,Bivalvia,Heterodonta,NA,NA,Veneroida,NA,NA,Corbiculoidea,Sphaeriidae,NA,NA,NA,Sphaerium,NA,sp.,NA
Stagnicola sp.,Larvae,3,1,Animalia,Mollusca,NA,Gastropoda,Heterobranchia,NA,NA,Hygrophila,NA,NA,Lymneoidea,Lymnaeidae,NA,NA,NA,Stagnicola,NA,sp.,NA
Stelechomyia perpulchra,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Stelechomyia,NA,Stelechomyia perpulchra,NA
Stempellina sp.,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Stempellina,NA,sp.,NA
Stempellinella sp.,Larvae,26,9,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Stempellinella,NA,sp.,NA
Stempellinella sp.,Pupae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Stempellinella,NA,sp.,NA
Stenacron interpunctatum,Larvae,409,59,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Stenacron,NA,Stenacron interpunctatum,NA
Stenacron sp.,Larvae,60,25,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Stenacron,NA,sp.,NA
Stenelmis sp.,Adults,114,27,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Stenelmis,NA,sp.,NA
Stenelmis sp.,Larvae,490,75,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Elmidae,NA,NA,NA,Stenelmis,NA,sp.,NA
Stenochironomus sp.,Larvae,143,52,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Stenochironomus,NA,sp.,NA
Stenochironomus sp.,Pupae,14,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Stenochironomus,NA,sp.,NA
Stenonema femoratum,Larvae,106,21,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Heptageniidae,NA,NA,NA,Stenonema,NA,Stenonema femoratum,NA
Stictochironomus sp.,Larvae,454,52,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Stictochironomus,NA,sp.,NA
Stictochironomus sp.,Pupae,6,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Stictochironomus,NA,sp.,NA
Stilobezzia sp.,Larvae,2,2,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,Stilobezzia,NA,sp.,NA
Stratiomyidae,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,NA,NA,NA,NA
Stratiomys sp.,Larvae,8,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Stratiomyidae,NA,NA,NA,Stratiomys,NA,sp.,NA
Syrphidae,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Syrphidae,NA,NA,NA,NA,NA,NA,NA
Tabanidae,Larvae,24,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Brachycera,NA,NA,Tabanidae,NA,NA,NA,NA,NA,NA,NA
Tanypus sp.,Larvae,24,15,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Tanypodini,NA,Tanypus,NA,sp.,NA
Tanypus sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Tanypodini,NA,Tanypus,NA,sp.,NA
Tanytarsini,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,NA,NA,NA,NA
Tanytarsus sp.,Larvae,2966,140,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Tanytarsus,NA,sp.,NA
Tanytarsus sp.,Pupae,199,74,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Tanytarsini,NA,Tanytarsus,NA,sp.,NA
Thermonectus sp.,Adults,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Adephaga,NA,NA,Dytiscidae,Dytiscinae,NA,NA,Thermonectus,NA,sp.,NA
Thienemanniella sp.,Larvae,248,52,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Thienemanniella,NA,sp.,NA
Thienemanniella sp.,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Thienemanniella,NA,sp.,NA
Thienemannimyia gr. sp.,Larvae,1651,146,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Thienemannimyia gr.,NA,sp.,NA
Thienemannimyia gr. sp.,Pupae,70,38,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Thienemannimyia gr.,NA,sp.,NA
Tipula sp.,Larvae,30,20,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,Tipulinae,NA,NA,Tipula,NA,sp.,NA
Tipulidae,Larvae,9,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,NA,NA,NA,NA,NA,NA,NA
Tipulidae,Pupae,12,10,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,NA,NA,NA,Tipulidae,NA,NA,NA,NA,NA,NA,NA
Triaenodes sp.,Larvae,31,7,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,Leptoceridae,NA,NA,NA,Triaenodes,NA,sp.,NA
Tribelos jucundum,Larvae,793,70,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Tribelos,NA,Tribelos jucundum,NA
Tribelos jucundum,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Tribelos,NA,Tribelos jucundum,NA
Tribelos sp.,Larvae,110,35,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Tribelos,NA,sp.,NA
Trichocorixa sp.,Adults,25,10,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Trichocorixa,NA,sp.,NA
Trichocorixa sp.,Larvae,39,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Hemiptera,Heteroptera,NA,NA,Corixidae,NA,NA,NA,Trichocorixa,NA,sp.,NA
Trichoptera,Pupae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Trichoptera,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tricorythodes sp.,Larvae,1075,22,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Ephemeroptera,NA,NA,NA,Leptohyphidae,NA,NA,NA,Tricorythodes,NA,sp.,NA
Tropisternus sp.,Adults,5,5,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Tropisternus,NA,sp.,NA
Tropisternus sp.,Larvae,30,18,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,NA,Coleoptera,Polyphaga,NA,NA,Hydrophilidae,NA,NA,NA,Tropisternus,NA,sp.,NA
Truncatelloidea,Adults,1,1,Animalia,Mollusca,NA,Gastropoda,Caenogastropoda,NA,NA,Littoridinomorpha,NA,NA,Truncatelloidea,NA,NA,NA,NA,NA,NA,NA,NA
Tubificidae,Larvae,399,64,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,Tubificida,NA,NA,NA,Tubificidae,NA,NA,NA,NA,NA,NA,NA
Turbellaria,Larvae,16,7,Animalia,Platyhelminthes,NA,Turbellaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Unionicola sp.,Adults,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Unionicolidae,NA,NA,NA,Unionicola,NA,sp.,NA
Unionicola sp.,Larvae,1,1,Animalia,Arthropoda,Chelicerata,Arachnida,Acari,NA,Acariformes,Trombidiformes,NA,NA,NA,Unionicolidae,NA,NA,NA,Unionicola,NA,sp.,NA
Xenochironomus xenolabis,Larvae,5,5,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Xenochironomus,NA,Xenochironomus xenolabis,NA
Xylotopus par,Larvae,3,3,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Orthocladiinae,NA,NA,Xylotopus,NA,Xylotopus par,NA
Zavreliella marmorata,Larvae,1,1,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Chironominae,Chironomini,NA,Zavreliella,NA,Zavreliella marmorata,NA
Zavrelimyia sp.,Larvae,294,67,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Zavrelimyia,NA,sp.,NA
Zavrelimyia sp.,Pupae,7,6,Animalia,Arthropoda,Hexapoda,Insecta,NA,NA,NA,Diptera,Nematocera,NA,NA,Chironomidae,Tanypodinae,Pentaneurini,NA,Zavrelimyia,NA,sp.,NA
